Date/Time, Site, Station, Sensor, Value
2017-11-13 01:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.44
2017-11-13 01:11:32,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.09
2017-11-13 02:11:41,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.57
2017-11-13 02:11:46,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.07
2017-11-13 02:11:50,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.32
2017-11-13 03:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.81
2017-11-13 03:11:04,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.67
2017-11-13 03:11:08,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.56
2017-11-13 03:11:13,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.8
2017-11-13 03:11:18,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.92
2017-11-13 04:11:22,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.07
2017-11-13 04:11:27,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.05
2017-11-13 04:11:32,Hull Springs Farm,Dock,Pressure Transducer(corrected),31.68
2017-11-13 04:11:36,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.55
2017-11-13 04:11:41,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.82
2017-11-13 04:11:45,Hull Springs Farm,Dock,Pressure Transducer(corrected),32.81
2017-11-13 05:11:50,Hull Springs Farm,Dock,Pressure Transducer(corrected),33.82
2017-11-13 05:11:54,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.15
2017-11-13 05:11:58,Hull Springs Farm,Dock,Pressure Transducer(corrected),34.58
2017-11-13 05:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.22
2017-11-13 05:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),36.82
2017-11-13 06:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.48
2017-11-13 06:11:21,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.05
2017-11-13 06:11:26,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.61
2017-11-13 06:11:30,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.67
2017-11-13 06:11:35,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.51
2017-11-13 07:11:40,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.03
2017-11-13 07:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.69
2017-11-13 07:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.66
